t,ankle
0,-6.12182243
0.01,-5.98357437
0.02,-5.82370199
0.03,-5.63470367
0.04,-5.45012585
0.05,-5.20988659
0.06,-4.97794099
0.07,-4.75263265
0.08,-4.48793405
0.09,-4.19998448
0.1,-3.94264216
0.11,-3.6962203
0.12,-3.47577891
0.13,-3.256801
0.14,-3.05631041
0.15,-2.89945975
0.16,-2.7943569
0.17,-2.6716554
0.18,-2.60961621
0.19,-2.61482242
0.2,-2.67950319
0.21,-2.76356914
0.22,-2.9721293
0.23,-3.26007811
0.24,-3.65313862
0.25,-4.18656161
0.26,-4.87947866
0.27,-5.75603221
0.28,-6.87267717
0.29,-8.17949578
0.3,-9.70155331
0.31,-11.47422877
0.32,-13.4544498
0.33,-15.5913836
0.34,-17.80834566
0.35,-20.01342002
0.36,-22.07648641
0.37,-23.91039885
0.38,-25.43515909
0.39,-26.50730686
0.4,-27.16294916
0.41,-27.37683782
0.42,-27.2155545
0.43,-26.73008091
0.44,-25.98551733
0.45,-25.06055786
0.46,-24.04045205
0.47,-22.95691628
0.48,-21.86963552
0.49,-20.81466443
0.5,-19.81701107
0.51,-18.88618641
0.52,-18.02559102
0.53,-17.2297566
0.54,-16.4954553
0.55,-15.82054929
0.56,-15.21713945
0.57,-14.66954767
0.58,-14.20459031
0.59,-13.7754352
0.6,-13.43993944
0.61,-13.14768324
0.62,-12.89682076
0.63,-12.69855448
0.64,-12.53813479
0.65,-12.40741188
0.66,-12.29939947
0.67,-12.2054223
0.68,-12.11730995
0.69,-12.02844028
0.7,-11.94119853
0.71,-11.84606247
0.72,-11.75996058
0.73,-11.6673587
0.74,-11.57871608
0.75,-11.49612415
0.76,-11.4218311
0.77,-11.3376614
0.78,-11.25316016
0.79,-11.16138509
0.8,-11.07092871
0.81,-10.98939262
0.82,-10.96172452
0.83,-10.95271591
0.84,-11.04370592
0.85,-11.25126107
0.86,-11.59588744
0.87,-12.10753333
0.88,-12.81386038
0.89,-13.62900985
0.9,-14.54893504
0.91,-15.52118602
0.92,-16.4947151
0.93,-17.42080085
0.94,-18.20901074
0.95,-18.9174167
0.96,-19.47896273
0.97,-19.90184808
0.98,-20.18930566
0.99,-20.35552473
1,-20.38690682
1.01,-20.36718886
1.02,-20.29151177
1.03,-20.13957816
1.04,-19.90656851
1.05,-19.63573444
1.06,-19.34351806
1.07,-18.94113813
1.08,-18.51240567
1.09,-18.04300672
1.1,-17.51290124
1.11,-16.95573332
1.12,-16.37154074
1.13,-15.77307823
1.14,-15.17799647
1.15,-14.58161951
1.16,-13.99588058
1.17,-13.41926823
1.18,-12.85588801
1.19,-12.30871515
1.2,-11.77517979
1.21,-11.24802881
1.22,-10.73381484
1.23,-10.21787176
1.24,-9.72731165
1.25,-9.25025152
1.26,-8.79223202
1.27,-8.36151375
1.28,-7.95412052
1.29,-7.57251706
1.3,-7.22205752
1.31,-6.90868872
1.32,-6.62276722
1.33,-6.36226794
1.34,-6.11722298
1.35,-5.89041238
1.36,-5.67517075
1.37,-5.47292547
1.38,-5.30170697
1.39,-5.09930336
1.4,-4.88167277
1.41,-4.64909613
1.42,-4.43020149
1.43,-4.19386941
1.44,-3.96612425
1.45,-3.69217778
1.46,-3.45530775
1.47,-3.22223697
1.48,-2.97480152
1.49,-2.75884077
1.5,-2.5715272
1.51,-2.35294257
1.52,-2.19375064
1.53,-2.02002739
1.54,-1.89071508
1.55,-1.7892912
1.56,-1.70471824
1.57,-1.67490951
1.58,-1.73099949
1.59,-1.78489394
1.6,-1.99349296
1.61,-2.26657126
1.62,-2.72884095
1.63,-3.3355292
1.64,-4.12521017
1.65,-5.16664939
1.66,-6.42184649
1.67,-7.96940049
1.68,-9.74852099
1.69,-11.74767796
1.7,-13.92536756
1.71,-16.17018159
1.72,-18.39735244
1.73,-20.48577039
1.74,-22.37102375
1.75,-23.87243455
1.76,-25.04661526
1.77,-25.79156627
1.78,-26.14060775
1.79,-26.17688772
1.8,-25.92711344
1.81,-25.45021443
1.82,-24.81323004
1.83,-24.07704105
1.84,-23.27484571
1.85,-22.43985928
1.86,-21.60295168
1.87,-20.76508436
1.88,-19.93252034
1.89,-19.12535928
1.9,-18.34266549
1.91,-17.59705291
1.92,-16.89188019
1.93,-16.2393755
1.94,-15.6415076
1.95,-15.10758998
1.96,-14.63700622
1.97,-14.23891824
1.98,-13.90000597
1.99,-13.619745
2,-13.40015997
2.01,-13.23377878
2.02,-13.10903732
2.03,-13.01896387
2.04,-12.96200548
2.05,-12.92531697
2.06,-12.9015514
2.07,-12.89265264
2.08,-12.8752806
2.09,-12.86828634
2.1,-12.87288277
2.11,-12.88637225
2.12,-12.91193457
2.13,-12.95028731
2.14,-13.00303607
2.15,-13.06502019
2.16,-13.13568847
2.17,-13.21878028
2.18,-13.31951581
2.19,-13.45266608
2.2,-13.63139968
2.21,-13.86647503
2.22,-14.19552127
2.23,-14.62435841
2.24,-15.20814492
2.25,-15.84761024
2.26,-16.52489669
2.27,-17.2821374
2.28,-17.98626861
2.29,-18.60752456
2.3,-19.15907543
2.31,-19.57648574
2.32,-19.87419393
2.33,-20.03174612
2.34,-20.05446587
2.35,-19.99442101
2.36,-19.86115262
2.37,-19.66523205
2.38,-19.43558627
2.39,-19.17841855
2.4,-18.89654882
2.41,-18.59138581
2.42,-18.26294232
2.43,-17.89443851
2.44,-17.48049533
2.45,-17.02854101
2.46,-16.53535102
2.47,-16.00069655
2.48,-15.44105894
2.49,-14.86635632
2.5,-14.29229407
2.51,-13.71242178
2.52,-13.16302781
2.53,-12.62410253
2.54,-12.09482619
2.55,-11.58486034
2.56,-11.08697838
2.57,-10.60697161
2.58,-10.12476055
2.59,-9.66499268
2.6,-9.21747011
2.61,-8.74154637
2.62,-8.32866025
2.63,-7.89079558
2.64,-7.50423191
2.65,-7.12145501
2.66,-6.78321172
2.67,-6.48253924
2.68,-6.20558322
2.69,-5.95320414
2.7,-5.72787471
2.71,-5.51434828
2.72,-5.33496863
2.73,-5.16132638
2.74,-5.00974202
2.75,-4.84277036
2.76,-4.69460474
2.77,-4.51924477
2.78,-4.37661471
2.79,-4.21114053
2.8,-4.02642859
2.81,-3.83096063
2.82,-3.61724192
2.83,-3.42955847
2.84,-3.22491599
2.85,-2.98938398
2.86,-2.76981412
2.87,-2.5553511
2.88,-2.32971293
2.89,-2.12097352
2.9,-1.92162163
2.91,-1.74315182
2.92,-1.55996619
2.93,-1.45883419
2.94,-1.3262612
2.95,-1.32961539
2.96,-1.3233543
2.97,-1.46853408
2.98,-1.74480183
2.99,-2.18297989
3,-2.81505001
3.01,-3.60945342
3.02,-4.65690643
3.03,-5.9287866
3.04,-7.41471581
3.05,-9.07652559
3.06,-10.86146154
3.07,-12.69569014
3.08,-14.47805785
3.09,-16.15181738
3.1,-17.60703181
3.11,-18.79394094
3.12,-19.65409965
3.13,-20.2746412
3.14,-20.58715502
3.15,-20.68196339
3.16,-20.59991214
3.17,-20.39343983
3.18,-20.09217357
3.19,-19.75321024
3.2,-19.37697663
3.21,-18.98314264
3.22,-18.57969665
3.23,-18.16975771
3.24,-17.73710655
3.25,-17.30450543
3.26,-16.87136409
3.27,-16.42189627
3.28,-16.00691075
3.29,-15.60443142
3.3,-15.23098456
3.31,-14.90646648
3.32,-14.62665367
3.33,-14.38703446
3.34,-14.18703705
3.35,-14.02676494
3.36,-13.90641585
3.37,-13.82656222
3.38,-13.74065898
3.39,-13.70064365
3.4,-13.64388655
3.41,-13.58663953
3.42,-13.51206642
3.43,-13.4144384
3.44,-13.28749659
3.45,-13.12924352
3.46,-12.94538064
3.47,-12.74245015
3.48,-12.53285846
3.49,-12.32195704
3.5,-12.11947283
3.51,-11.92586198
3.52,-11.74868142
3.53,-11.58754169
3.54,-11.46084346
3.55,-11.36635537
3.56,-11.33101567
3.57,-11.36519092
3.58,-11.48318271
3.59,-11.75200086
3.6,-12.18950614
3.61,-12.748255
3.62,-13.47577996
3.63,-14.31793
3.64,-15.22118923
3.65,-16.17904881
3.66,-17.10441282
3.67,-17.95978391
3.68,-18.69757161
3.69,-19.26959448
3.7,-19.73363719
3.71,-20.03637251
3.72,-20.23671639
3.73,-20.2788863
3.74,-20.25332222
3.75,-20.16052319
3.76,-20.00106901
3.77,-19.79660726
3.78,-19.5472809
3.79,-19.27756525
3.8,-18.92197113
3.81,-18.54174666
3.82,-18.12989023
3.83,-17.65503593
3.84,-17.16735856
3.85,-16.63300857
3.86,-16.09537932
3.87,-15.56709991
3.88,-15.00912921
3.89,-14.48632628
3.9,-13.9794691
3.91,-13.50037625
3.92,-13.03821267
3.93,-12.58785114
3.94,-12.15038812
3.95,-11.72480339
3.96,-11.32104073
3.97,-10.92052053
3.98,-10.54275631
3.99,-10.19723597
4,-9.86951027
4.01,-9.56254505
4.02,-9.27813869
4.03,-9.01739807
4.04,-8.77632124
4.05,-8.55437907
4.06,-8.34081619
4.07,-8.13124696
4.08,-7.915492
4.09,-7.70827269
4.1,-7.50095487
4.11,-7.27172386
4.12,-7.01069716
4.13,-6.76579613
4.14,-6.54924427
4.15,-6.24045325
4.16,-5.97772073
4.17,-5.6925549
4.18,-5.40499783
4.19,-5.12746447
4.2,-4.83149008
4.21,-4.52450054
4.22,-4.24609581
4.23,-3.97531847
4.24,-3.70554065
4.25,-3.43350249
4.26,-3.18413251
4.27,-2.96357221
4.28,-2.77219592
4.29,-2.60458246
4.3,-2.45040686
4.31,-2.35661815
4.32,-2.32775353
4.33,-2.37927633
4.34,-2.55662841
4.35,-2.81843882
4.36,-3.26498098
4.37,-3.86415691
4.38,-4.69348786
4.39,-5.72594118
4.4,-6.97129444
4.41,-8.47530752
4.42,-10.18825853
4.43,-12.07890076
4.44,-14.09807292
4.45,-16.10348398
4.46,-18.07264146
4.47,-19.84315656
4.48,-21.33135004
4.49,-22.57607992
4.5,-23.43780722
4.51,-23.9369415
4.52,-24.13847329
4.53,-24.08802693
4.54,-23.82411918
4.55,-23.40419434
4.56,-22.87880019
4.57,-22.28785819
4.58,-21.65945621
4.59,-21.00379343
4.6,-20.3470171
4.61,-19.68298225
4.62,-19.01496185
4.63,-18.3704169
4.64,-17.71980566
4.65,-17.12399971
4.66,-16.57142631
4.67,-16.06036238
4.68,-15.60439143
4.69,-15.2236018
4.7,-14.90072449
4.71,-14.62188554
4.72,-14.41705061
4.73,-14.26309372
4.74,-14.14551323
4.75,-14.0384284
4.76,-13.96009638
4.77,-13.89165127
4.78,-13.81718339
4.79,-13.73587463
4.8,-13.64235987
4.81,-13.54155166
4.82,-13.43124125
4.83,-13.31140649
4.84,-13.19494583
4.85,-13.07476371
4.86,-12.95567011
4.87,-12.8328786
4.88,-12.70945344
4.89,-12.58854791
4.9,-12.47718517
4.91,-12.38909873
4.92,-12.39364714
4.93,-12.3709419
4.94,-12.49019056
4.95,-12.72228329
4.96,-13.11156938
4.97,-13.62688283
4.98,-14.28916086
4.99,-15.04818733
5,-15.87638262
5.01,-16.70707448
5.02,-17.50983134
5.03,-18.20923409
5.04,-18.83118106
5.05,-19.33144316
5.06,-19.68886663
5.07,-19.93534148
5.08,-20.07773624
5.09,-20.13619504
5.1,-20.14072618
5.11,-20.05684338
5.12,-19.96312158
5.13,-19.80050088
5.14,-19.5674843
5.15,-19.32215329
5.16,-18.97849307
5.17,-18.60839707
5.18,-18.16907971
5.19,-17.68272224
5.2,-17.16201953
5.21,-16.61884134
5.22,-16.07080575
5.23,-15.5259335
5.24,-15.00759807
5.25,-14.50790325
5.26,-14.02708237
5.27,-13.56547967
5.28,-13.13308233
5.29,-12.71072939
5.3,-12.31615169
5.31,-11.89679316
5.32,-11.5125396
5.33,-11.11787784
5.34,-10.72483137
5.35,-10.37801491
5.36,-10.0248318
5.37,-9.69633621
5.38,-9.37630975
5.39,-9.08437065
5.4,-8.80706617
5.41,-8.54733845
5.42,-8.30347682
5.43,-8.05456482
5.44,-7.8096023
5.45,-7.59301839
5.46,-7.36299906
5.47,-7.14552539
5.48,-6.91833503
5.49,-6.6974662
5.5,-6.44061397
5.51,-6.20599435
5.52,-5.98946131
5.53,-5.73876107
5.54,-5.46074451
5.55,-5.21094935
5.56,-4.95899791
5.57,-4.70511601
5.58,-4.45807606
5.59,-4.21874806
5.6,-4.00206654
5.61,-3.78318026
5.62,-3.58684893
5.63,-3.4330134
5.64,-3.33834037
5.65,-3.24389657
5.66,-3.21918206
5.67,-3.28527163
5.68,-3.42978459
5.69,-3.71224398
5.7,-4.09444594
5.71,-4.6249951
5.72,-5.34326682
5.73,-6.22208525
5.74,-7.33333408
5.75,-8.69317093
5.76,-10.25202337
5.77,-12.00305303
5.78,-13.95428466
5.79,-16.0264894
5.8,-18.11231524
5.81,-20.13606193
5.82,-22.00134599
5.83,-23.59101754
5.84,-24.84586321
5.85,-25.75399414
5.86,-26.28407731
5.87,-26.42998873
5.88,-26.26328885
5.89,-25.84283259
5.9,-25.21124934
5.91,-24.44525534
5.92,-23.6102372
5.93,-22.75597876
5.94,-21.93509294
5.95,-21.19453543
5.96,-20.55307735
5.97,-20.03824659
5.98,-19.63064767
5.99,-19.35343333
6,-19.15968957
6.01,-19.04212017
6.02,-18.95040606
